1234,3,60,60,true,1085,2.1209999999999987,test,IRS,12,0,26.2,0,2,0.3,0.3,1.8934
1234,3,15,10,true,1351,2.3249999999999993,study,IRS,13,0,28.525,0,1,0.3,0.3,Infinity
1234,3,84,36,true,1547,2.8160000000000025,study,IRS,14,0,31.341,0,1,0.3,0.3,Infinity
1234,3,15,10,true,1156,2.219999999999999,test,IRS,15,0,33.561,0,2,0.3,0.3,1.9349
1234,3,84,36,true,1856,3.171999999999997,test,IRS,16,0,36.733,0,2,0.3,0.3,1.9238
1234,3,31,5,false,1539,2.3370000000000033,test,IRS,17,0,39.07,1,3,0.3496,0.3,2.2673
1234,3,35,20,true,1552,6.051000000000002,test,IRS,18,0,45.121,0,3,0.2504,0.3,2.2764
1234,3,46,30,true,1393,2.519999999999996,study,IRS,19,0,47.641,0,1,0.3,0.3,Infinity
1234,3,12,4,true,1520,2.3190000000000026,study,IRS,20,0,49.96,0,1,0.3,0.3,Infinity
1234,3,46,35,false,1887,4.189999999999998,test,IRS,21,0,54.15,1,2,0.3,0.3,1.9048
1234,3,12,4,true,1216,5.426000000000002,test,IRS,22,0,59.576,0,2,0.3,0.3,2.2897
1234,3,11,2,true,960,1.7269999999999968,test,IRS,23,0,61.303,0,3,0.2504,0.3,2.4005
